2012-09-10,Buy,CSCO,100
2012-09-17,Sell,CSCO,100
2012-05-04,Buy,CSCO,100
2012-05-11,Sell,CSCO,100
2012-04-24,Buy,CSCO,100
2012-05-01,Sell,CSCO,100
2012-03-06,Buy,CSCO,100
2012-03-13,Sell,CSCO,100
2012-11-09,Buy,FB,100
2012-11-16,Sell,FB,100
2012-10-18,Buy,FB,100
2012-10-25,Sell,FB,100
2012-10-16,Buy,FB,100
2012-10-23,Sell,FB,100
2012-08-21,Buy,FB,100
2012-08-28,Sell,FB,100
2012-08-17,Buy,FB,100
2012-08-24,Sell,FB,100
2012-11-21,Buy,INTC,100
2012-11-29,Sell,INTC,100
2012-11-14,Buy,LINTA,100
2012-11-21,Sell,LINTA,100
2012-08-08,Buy,LINTA,100
2012-08-15,Sell,LINTA,100
2012-03-28,Buy,LINTA,100
2012-04-04,Sell,LINTA,100
2012-03-20,Buy,LINTA,100
2012-03-27,Sell,LINTA,100
2012-05-30,Buy,NWSA,100
2012-06-06,Sell,NWSA,100
2012-05-23,Buy,NWSA,100
2012-05-31,Sell,NWSA,100
2012-05-17,Buy,NWSA,100
2012-05-24,Sell,NWSA,100
2012-05-04,Buy,NWSA,100
2012-05-11,Sell,NWSA,100
2012-04-04,Buy,NWSA,100
2012-04-12,Sell,NWSA,100
2012-03-29,Buy,NWSA,100
2012-04-05,Sell,NWSA,100
2012-03-12,Buy,NWSA,100
2012-03-19,Sell,NWSA,100
2012-03-05,Buy,NWSA,100
2012-03-12,Sell,NWSA,100
2012-02-27,Buy,NWSA,100
2012-03-05,Sell,NWSA,100
2012-02-22,Buy,NWSA,100
2012-02-29,Sell,NWSA,100
2012-02-09,Buy,NWSA,100
2012-02-16,Sell,NWSA,100
2012-01-20,Buy,NWSA,100
2012-01-27,Sell,NWSA,100
2012-01-17,Buy,STX,100
2012-01-24,Sell,STX,100
2012-12-21,Buy,YHOO,100
2012-12-24,Sell,YHOO,100
2012-12-12,Buy,YHOO,100
2012-12-19,Sell,YHOO,100
